,fecha,precio,año_hecho,año_renovado,metros_cuadrados,pisos,habitaciones,baños,calle,codigo_zip,estado,ciudad
0,2019-06-24,"$260,070",01/01/1982,2016.0,762.0,1.0,4.0,2.0,2400 WALNUT RIDGE ST,75229.0,TX,DALLAS
1,2019-07-18,"$456,280",01/01/1982,2016.0,866.0,2.0,4.0,2.0,10400 BIG THICKET DR,75217.0,TX,DALLAS
2,2019-07-31,"$237,820",01/01/1982,2016.0,814.0,1.0,5.0,3.0,9200 DARTWOOD LN,75225.0,TX,DALLAS
3,2019-08-14,"$231,000",01/01/1980,2016.0,680.0,1.0,4.0,2.0,4800 SIMCOE ST,75228.0,TX,DALLAS
4,2019-07-31,"$1,410,820",01/01/1980,2016.0,1018.0,2.0,4.0,2.0,6926 STEFANI DR,75225.0,TX,DALLAS
5,2019-07-16,"$740,220",01/01/1980,2016.0,792.0,2.0,4.0,3.0,7800 MATTISON ST,75217.0,TX,DALLAS
6,2019-06-28,"$275,830",01/01/1980,2016.0,640.0,2.0,4.0,2.0,400 SUNNYSIDE AVE,75211.0,TX,DALLAS
7,2019-06-27,"$355,420",01/01/1980,2016.0,399.0,2.0,2.0,1.0,200 KITTIWAKE CIR,75211.0,TX,DALLAS
8,2019-07-24,"$390,780",01/01/1979,2016.0,503.0,1.0,3.0,2.0,11600 TUSCANY WAY,75218.0,TX,DALLAS
9,2019-07-11,"$1,152,800",01/01/1977,2016.0,716.0,1.0,3.0,2.0,2400 51ST ST,75216.0,TX,DALLAS
10,2019-06-07,"$678,110",01/01/1977,2016.0,920.0,2.0,5.0,3.0,2901 MAGNOLIA HILL CT,75201.0,TX,DALLAS
11,2019-07-25,"$281,880",01/01/1977,2016.0,735.0,1.0,4.0,2.0,9821 COUNTY CORK DR,75218.0,TX,DALLAS
12,2019-06-20,"$225,820",01/01/1977,0.0,448.0,1.0,3.0,2.0,SIN DIRECCION,75208.0,TX,DALLAS
13,2019-06-07,"$552,190",01/01/1977,2016.0,945.0,2.0,3.0,2.0,515 ERVAY ST,75217.0,TX,DALLAS
14,2019-07-21,"$457,280",01/01/1973,2016.0,421.0,2.0,3.0,3.0,444 OAK HOLLOW DR,75217.0,TX,DALLAS
15,2019-06-10,457650.0,01/01/1972,0.0,703.2,2.0,3.0,2.0,2900 TALISMAN DR,75229.0,TX,DALLAS
16,2019-08-07,"$1,078,030",01/01/1972,2016.0,1036.0,1.0,3.0,3.0,2900 VICTORIAN FOREST DR,75227.0,TX,DALLAS
17,2019-07-28,"$335,730",01/01/1972,2016.0,418.0,2.0,4.0,2.0,2612 THE MALL,75219.0,TX,DALLAS
18,2019-06-27,"$182,460",01/01/1969,2016.0,335.0,1.0,3.0,1.0,2540 BAHAMA DR,75211.0,TX,DALLAS
19,2019-08-13,"$544,470",01/01/1969,2016.0,384.0,1.0,3.0,2.0,9401 DIXIE LN,75228.0,TX,DALLAS
20,2019-07-30,"$907,040",01/01/1968,2016.0,972.0,1.0,5.0,4.0,1011.5 CAMERON AVE,75223.0,TX,DALLAS
21,2019-07-31,"$217,920",01/01/1968,2016.0,354.0,1.0,3.0,2.0,12201 MONTEGO PLZ,75230.0,TX,DALLAS
22,2019-07-07,"$327,510",01/01/1968,2016.0,436.0,1.0,3.0,2.0,6701 ALEXANDER DR,75214.0,TX,DALLAS
23,2019-06-19,"$543,510",01/01/1965,2016.0,701.0,1.0,3.0,3.0,1201 MEDICAL DISTRICT DR,75207.0,TX,DALLAS
24,2019-07-23,"$417,890",01/01/1951,2016.0,460.0,1.0,3.0,2.0,900 GAUSE LN,75217.0,TX,DALLAS
25,2019-08-12,"$871,620",01/01/1921,2016.0,969.0,2.0,4.0,3.0,11001 MILHOF DR,75228.0,TX,DALLAS
26,2019-07-03,"$599,860",01/01/1919,2016.0,634.0,1.0,4.0,3.0,4000 RANGER DR,75212.0,TX,DALLAS
27,2019-07-10,"$876,330",01/01/1907,2016.0,963.0,2.0,5.0,3.0,2201 LAWRENCE ST,75215.0,TX,DALLAS
