,FECHA_DOC,CANT,COSTO_UNITARIO
0,2022-01-05,1,52.8
1,2022-01-05,1,327.18
2,2022-01-05,7,177.68
3,2022-01-05,1,38.96
4,2022-01-05,2,101.71
5,2022-01-05,2,49.41
6,2022-01-05,1,5323.76
7,2022-01-05,3,38.96
8,2022-01-05,1,517.89
9,2022-01-05,1,517.89
10,2022-01-05,1,517.89
11,2022-01-05,1,0.0
12,2022-01-05,1,0.0
13,2022-01-05,1,0.0
14,2022-01-05,1,0.0
15,2022-01-05,5,51.73
16,2022-01-05,2,124.0
17,2022-01-05,3,0.0
18,2022-01-05,5,0.0
19,2022-01-05,7,0.0
20,2022-01-05,3,27.43
21,2022-01-07,3,147.76
22,2022-01-07,1,259.35
23,2022-01-07,1,332.65
24,2022-01-07,2,0.36
25,2022-01-07,3,1081.89
26,2022-01-07,5,124.0
27,2022-01-07,6,44.14
28,2022-01-07,2,489.39
29,2022-01-07,30,305.44
30,2022-01-10,6,295.24
31,2022-01-10,30,305.44
32,2022-01-10,1,178.6
33,2022-01-11,10,68.95
34,2022-01-11,10,78.32
35,2022-01-11,1,5.76
36,2022-01-11,1,45.01
37,2022-01-11,1,289.05
38,2022-01-12,40,64.85
39,2022-01-12,1,0.0
40,2022-01-12,3,0.0
41,2022-01-12,9,101.71
42,2022-01-12,10,0.0
43,2022-01-12,8,0.0
44,2022-01-13,2,0.0
45,2022-01-14,1,140.29
46,2022-01-14,2,181.88
47,2022-01-14,2,249.89
48,2022-01-14,4,48.56
49,2022-01-14,1,0.0
50,2022-01-17,5,85.29
51,2022-01-17,1,220.0
52,2022-01-17,1,211.36
53,2022-01-17,2,242.48
54,2022-01-17,2,235.56
55,2022-01-17,1,0.0
56,2022-01-17,1,0.0
57,2022-01-17,4,44.7
58,2022-01-18,1,4.02
59,2022-01-19,2,69.23
60,2022-01-19,2,69.23
61,2022-01-19,3,556.14
62,2022-01-19,3,447.68
63,2022-01-19,6,95.82
64,2022-01-19,2,158.4
65,2022-01-19,8,272.65
66,2022-01-19,2,161.63
67,2022-01-19,4,105.68
68,2022-01-20,4,0.0
69,2022-01-20,2,51.38
70,2022-01-20,1,291.72
71,2022-01-21,10,0.0
72,2022-01-21,1,52.48
73,2022-01-21,1,139.82
74,2022-01-21,30,275.5
75,2022-01-21,3,200.3
76,2022-01-24,10,372.67
77,2022-01-24,6,360.5
78,2022-01-24,6,337.97
79,2022-01-24,8,113.47
80,2022-01-24,10,77.13
81,2022-01-24,2,0.0
82,2022-01-24,2,0.0
83,2022-01-24,2,0.0
84,2022-01-25,1,85.89
85,2022-01-25,12,95.96
86,2022-01-25,12,131.65
87,2022-01-25,1,0.0
88,2022-01-25,20,71.25
89,2022-01-26,1,38.96
90,2022-01-26,3,363.33
91,2022-01-26,1,27.08
92,2022-01-27,1,436.54
93,2022-01-27,1,38.96
94,2022-01-28,1,113.22
95,2022-01-28,3,0.0
96,2022-01-28,3,0.0
97,2022-01-28,3,0.0
98,2022-01-28,2,0.0
99,2022-01-28,1,71.25
100,2022-01-28,1,75.89
101,2022-01-31,2,0.0
102,2022-01-31,2,1041.08
103,2022-01-31,2,1298.68
104,2022-01-31,1,0.0
105,2022-01-31,1,435.3
106,2022-01-31,4,0.0
107,2022-01-31,1,167.3
108,2022-01-31,1,104.4
109,2022-01-31,2,0.0
110,2022-01-31,1,0.0
111,2022-01-31,4,0.0
112,2022-01-31,2,0.0
113,2022-01-31,1,0.0
114,2022-01-31,1,281.94
115,2022-01-31,4,0.0
116,2022-01-31,2,0.0
117,2022-01-31,1,13.38
118,2022-02-01,1,0.0
119,2022-02-01,4,0.0
120,2022-02-01,2,0.0
121,2022-02-02,1,220.0
122,2022-02-02,2,492.92
123,2022-02-02,1,13.38
124,2022-02-02,1,174.76
125,2022-02-02,3,0.0
126,2022-02-02,2,246.94
127,2022-02-03,1,90.18
128,2022-02-03,4,156.83
129,2022-02-03,4,0.0
130,2022-02-03,4,0.0
131,2022-02-03,4,0.0
132,2022-02-03,1,130.78
133,2022-02-03,1,134.36
134,2022-02-04,15,189.47
135,2022-02-04,1,220.0
136,2022-02-04,1,395.14
137,2022-02-04,1,141.65
138,2022-02-08,12,526.27
139,2022-02-08,4,0.0
140,2022-02-08,10,96.78
141,2022-02-08,3,533.27
142,2022-02-08,7,319.99
143,2022-02-08,2,0.0
144,2022-02-09,2,168.4
